artist,data-has-content,rank,song,year
Jim Reeves ,true ,5 ,Welcome To My World,1964
Sonny James ,true ,6 ,Baltimore,1964
Jim Reeves ,true ,7 ,Love Is No Excuse,1964
Loretta Lynn ,true ,8 ,Wine Women And Song,1964
Faron Young ,true ,9 ,Keeping Up With The Joneses,1964
Kitty Wells ,true ,10 ,This White Circle On My Finger,1964
Porter Wagoner ,true ,11 ,Sorrow On The Rocks,1964
Hank Snow ,true ,12 ,Breakfast With The Blues,1964
Ned Miller ,true ,13 ,Invisible Tears,1964
Lefty Frizzell ,true ,14 ,Saginaw, Michigan,1964
Hank Locklin ,true ,15 ,Followed Closely By My Teardrops,1964
Skeeter Davis ,true ,16 ,Gonna Get Along Without You Now,1964
David Houston ,true ,17 ,Chickashay,1964
Jim Nesbitt ,true ,18 ,Looking For More In '64,1964
Hank Williams Jr. ,true ,19 ,Long Gone Lonesome Blues,1964
Ferlin Husky ,true ,20 ,Timber I'm Falling,1964
Johnny &amp; Jonie Mosby ,true ,21 ,Keep Those Cards And Letters Coming In,1964
Roy Drusky ,true ,22 ,Pick Of The Week,1964
Ernest ,true ,23 ,A Week In The Country,1964
Billy Walker ,true ,24 ,Circumstances,1964
Stonewall Jackson ,true ,25 ,Not My Kind Of People,1964
Webb Pierce ,true ,26 ,Memory #1,1964
Bill Anderson ,true ,27 ,Easy Come-Easy Go,1964
Eddy Arnold ,true ,28 ,Molly,1964
Johnny Wright ,true ,29 ,Walkin', Talkin', Cryin', Barely Beatin' Broken Heart,1964
Tillman Franks Singers ,true ,30 ,When The World's On Fire,1964
Flatt &amp; Scruggs ,true ,31 ,You Are My Flower,1964
Johnny Sea ,true ,32 ,My Baby Walks All Over Me,1964
Marion Worth ,true ,33 ,You Took Him Off My Hands (Now Please Take Him Off My Mind),1964
George Jones ,true ,34 ,Your Heart Turned Left (And I Was On The Right),1964
Bob Jennings ,true ,35 ,The First Step Down (Is The Longest),1964
The Browns ,true ,36 ,Then I'll Stop Loving You,1964
Bill Phillips ,true ,37 ,I Can Stand It (As Long As She Can),1964
Jimmy C. Newman ,true ,38 ,Angel On Leave,1964
Ernest Tubb ,false ,39 ,Be Better To Your Baby,1964
Jimmy C. Newman ,false ,40 ,Summer Skies And Golden Sands,1964
Margie ,true ,41 ,Understand Your Gal,1964
Jean Shepard ,false ,42 ,Second Fiddle (To An Old Guitar),1964
Wanda Jackson ,true ,44 ,The Violet And A Rose,1964
Kitty Wells ,false ,45 ,Password,1964
Marion Worth &amp; George Morgan ,true ,46 ,Slipping Around,1964
Claude Gray ,true ,47 ,Eight Years (And Two Children Later),1964
